"usque","all the way up (to), event (to), continuously, always","usque"
"nimis, nimium","too, too much, excessively, exceedingly, very","nimis, nimium"
"bene","well, satisfactorily, quite","bene"
"diū","long, for a long time","diū"
"nūper","recently","nūper"
"pulchrē","beatuifully, finely","pulchrē"
"vērē","truly, really, actually, rightly","vērē"
"līberē","freely","līberē"
"ōlim","once (upon a time), long ago, formerly; some day, in the future","ōlim"
"cūr","why","cūr"
"iterum","again, a second time","iterum"
"quondam","formerly, once","quondam"
"ultrā","on the other side of, beyond"